"YR","PROGRAM","LOC","STATE","ID","REP","BLOCK","ROW","COL","PLOT","Trait","Measurement"
2014,"University of Nebraska","Clay Center"," NE","11_26",1,10,10,40,2097,"YLD",3773
2014,"University of Nebraska","Clay Center"," NE","11_26",1,10,10,40,2097,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","11_26",1,10,10,40,2097,"HT",84
2014,"University of Nebraska","Clay Center"," NE","11_73",1,10,10,41,2098,"YLD",3679
2014,"University of Nebraska","Clay Center"," NE","11_73",1,10,10,41,2098,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","11_73",1,10,10,41,2098,"HT",84
2014,"University of Nebraska","Clay Center"," NE","13_13",1,20,20,34,2191,"YLD",3295
2014,"University of Nebraska","Clay Center"," NE","13_13",1,20,20,34,2191,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","13_13",1,20,20,34,2191,"HT",74
2014,"University of Nebraska","Clay Center"," NE","13_59",1,20,20,35,2192,"YLD",3423
2014,"University of Nebraska","Clay Center"," NE","13_59",1,20,20,35,2192,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","13_59",1,20,20,35,2192,"HT",78
2014,"University of Nebraska","Clay Center"," NE","14_10",1,4,4,38,2035,"YLD",4654
2014,"University of Nebraska","Clay Center"," NE","14_10",1,4,4,38,2035,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_10",1,4,4,38,2035,"HT",82
2014,"University of Nebraska","Clay Center"," NE","14_2",1,4,4,35,2032,"YLD",4459
2014,"University of Nebraska","Clay Center"," NE","14_2",1,4,4,35,2032,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_2",1,4,4,35,2032,"HT",82
2014,"University of Nebraska","Clay Center"," NE","14_22",1,4,4,42,2039,"YLD",4277
2014,"University of Nebraska","Clay Center"," NE","14_22",1,4,4,42,2039,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_22",1,4,4,42,2039,"HT",82
2014,"University of Nebraska","Clay Center"," NE","14_23",1,4,4,41,2038,"YLD",4096
2014,"University of Nebraska","Clay Center"," NE","14_23",1,4,4,41,2038,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_23",1,4,4,41,2038,"HT",80
2014,"University of Nebraska","Clay Center"," NE","14_31",1,4,4,40,2037,"YLD",5071
2014,"University of Nebraska","Clay Center"," NE","14_31",1,4,4,40,2037,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_31",1,4,4,40,2037,"HT",82
2014,"University of Nebraska","Clay Center"," NE","14_65",1,4,4,36,2033,"YLD",4708
2014,"University of Nebraska","Clay Center"," NE","14_65",1,4,4,36,2033,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_65",1,4,4,36,2033,"HT",92
2014,"University of Nebraska","Clay Center"," NE","14_66",1,4,4,34,2031,"YLD",3887
2014,"University of Nebraska","Clay Center"," NE","14_66",1,4,4,34,2031,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_66",1,4,4,34,2031,"HT",80
2014,"University of Nebraska","Clay Center"," NE","14_71",1,4,4,39,2036,"YLD",5165
2014,"University of Nebraska","Clay Center"," NE","14_71",1,4,4,39,2036,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_71",1,4,4,39,2036,"HT",80
2014,"University of Nebraska","Clay Center"," NE","14_83",1,4,4,37,2034,"YLD",4365
