"YR","PROGRAM","STATE","ID","REP","HT_Clay Center","HT_Lincoln","HT_Sidney","TW_Clay Center","TW_Lincoln","TW_Sidney","YLD_Clay Center","YLD_Lincoln","YLD_Sidney"
2014,"University of Nebraska"," NE","11_26",1,84,83.9978,78,NA,811,842,3773,4398,4613
2014,"University of Nebraska"," NE","11_73",1,84,86.0044,82,NA,803,842,3679,4452,4069
2014,"University of Nebraska"," NE","13_13",1,74,96.012,78,NA,774,839,3295,4398,5111
2014,"University of Nebraska"," NE","13_59",1,78,94.0054,80,NA,763,830,3423,5138,5252
2014,"University of Nebraska"," NE","14_10",1,82,86.0044,68,NA,803,773,4654,5219,4022
2014,"University of Nebraska"," NE","14_2",1,82,89.9922,76,NA,817,813,4459,4748,4365
2014,"University of Nebraska"," NE","14_22",1,82,86.0044,79,NA,780,750,4277,5037,4943
2014,"University of Nebraska"," NE","14_23",1,80,75.9968,80,NA,786,828,4096,4687,5467
2014,"University of Nebraska"," NE","14_31",1,82,83.9978,66,NA,790,812,5071,5239,4358
2014,"University of Nebraska"," NE","14_65",1,92,91.9988,80,NA,792,808,4708,4842,5360
2014,"University of Nebraska"," NE","14_66",1,80,81.9912,78,NA,798,822,3887,4620,4237
2014,"University of Nebraska"," NE","14_71",1,80,86.0044,76,NA,786,797,5165,5528,4270
2014,"University of Nebraska"," NE","14_83",1,88,89.9922,74,NA,NA,806,4365,5548,4472
2014,"University of Nebraska"," NE","14_88",1,82,94.0054,80,NA,818,819,4432,5615,4627
2014,"University of Nebraska"," NE","15_18",1,82,86.0044,78,NA,790,842,3470,4210,4190
2014,"University of Nebraska"," NE","15_44",1,80,83.9978,76,NA,772,828,2892,5044,4546
2014,"University of Nebraska"," NE","4_12",1,78,89.9922,80,NA,769,821,3430,4660,4963
2014,"University of Nebraska"," NE","4_19",1,76,78.0034,62,NA,787,771,3262,4418,3806
2014,"University of Nebraska"," NE","7_101",1,84,91.0082,80,NA,807,813,4398,4351,4842
2014,"University of Nebraska"," NE","7_105",1,80,89.9922,78,NA,791,820,4048,5246,4170
2014,"University of Nebraska"," NE","7_11",1,84,86.0044,82,NA,778,815,4506,5434,5057
2014,"University of Nebraska"," NE","7_140",1,80,96.012,88,NA,791,803,4237,5084,5131
2014,"University of Nebraska"," NE","7_29",1,90,100.9904,94,NA,790,807,4042,4916,5515
2014,"University of Nebraska"," NE","7_45",1,78,91.9988,86,NA,771,804,3874,5400,4842
2014,"University of Nebraska"," NE","7_55",1,90,96.012,90,NA,774,792,4311,4808,4526
2014,"University of Nebraska"," NE","7_61",1,78,111.9886,80,NA,789,839,4089,4243,4963
2014,"University of Nebraska"," NE","7_86",1,76,89.9922,78,NA,785,824,3477,4977,4788
2014,"University of Nebraska"," NE","7_9",1,84,80.01,78,NA,788,807,3282,4405,4512
2014,"University of Nebraska"," NE","CO11D1111",1,80,83.9978,84,NA,791,822,3658,5232,4822
2014,"University of Nebraska"," NE","CO11D1119",1,78,89.9922,86,NA,765,759,3268,4096,5367
2014,"University of Nebraska"," NE","CO11D1125",1,84,91.9988,88,NA,751,784,4889,4634,6066
2014,"University of Nebraska"," NE","CO11D1127",1,84,86.0044,82,NA,802,793,3329,4876,4943
2014,"University of Nebraska"," NE","CO11D1140",1,80,89.9922,86,NA,763,810,3692,4203,5326
2014,"University of Nebraska"," NE","CO11D1156",1,86,96.012,92,NA,801,838,3410,3282,6200
2014,"University of Nebraska"," NE","CO11D1159",1,80,83.9978,84,NA,782,826,3551,4096,5972
2014,"University of Nebraska"," NE","CO11D1174",1,82,88.011,74,NA,775,757,3262,5259,3167
2014,"University of Nebraska"," NE","CO11D1182",1,82,83.0072,74,NA,806,820,3948,5360,3847
2014,"University of Nebraska"," NE","CO11D1186",1,82,83.9978,76,NA,776,811,3578,4647,3880
2014,"University of Nebraska"," NE","CO11D1190",1,84,94.0054,84,NA,784,826,4136,5219,4943
2014,"University of Nebraska"," NE","CO11D1213",1,84,78.0034,72,NA,791,785,3524,4701,4929
2014,"University of Nebraska"," NE","CO11D1219",1,86,89.9922,90,NA,788,797,2448,4122,4277
2014,"University of Nebraska"," NE","CO11D1221",1,78,86.0044,85,NA,766,782,3934,4781,5158
2014,"University of Nebraska"," NE","CO11D1231",1,84,89.9922,88,NA,777,811,3349,5024,4869
2014,"University of Nebraska"," NE","CO11D1236",1,84,88.011,86,NA,776,803,5030,5272,5615
2014,"University of Nebraska"," NE","CO11D1240",1,72,72.009,70,NA,777,755,4196,5198,3665
2014,"University of Nebraska"," NE","CO11D1248",1,92,86.0044,88,NA,796,840,4586,5387,5562
2014,"University of Nebraska"," NE","CO11D1268",1,82,89.9922,84,NA,805,828,5050,5555,5064
2014,"University of Nebraska"," NE","CO11D1287",1,78,83.9978,82,NA,801,795,3389,4560,4371
2014,"University of Nebraska"," NE","CO11D1298",1,84,86.0044,84,NA,794,820,2798,3901,5219
2014,"University of Nebraska"," NE","CO11D1302W",1,84,80.01,76,NA,805,831,3759,4741,4822
2014,"University of Nebraska"," NE","CO11D1312",1,82,88.011,74,NA,796,816,4566,3746,5346
2014,"University of Nebraska"," NE","CO11D1315W",1,72,89.9922,98,NA,763,819,2885,4728,5474
2014,"University of Nebraska"," NE","CO11D1316W",1,76,88.011,86,NA,766,806,3336,4230,5683
2014,"University of Nebraska"," NE","CO11D1322",1,72,89.9922,86,NA,767,815,2656,4573,5165
2014,"University of Nebraska"," NE","CO11D1341",1,78,89.9922,90,NA,806,831,3907,5326,5622
2014,"University of Nebraska"," NE","CO11D1353",1,86,91.0082,90,NA,792,806,4264,4728,6160
2014,"University of Nebraska"," NE","CO11D1371",1,84,89.9922,88,NA,812,801,3779,5393,5326
2014,"University of Nebraska"," NE","CO11D1380",1,82,86.0044,82,NA,787,807,3793,4533,4977
2014,"University of Nebraska"," NE","CO11D1397",1,80,75.9968,73,NA,770,804,3638,4694,5003
2014,"University of Nebraska"," NE","CO11D1409",1,92,97.9932,90,NA,787,803,3652,4983,5878
2014,"University of Nebraska"," NE","CO11D1414",1,88,88.011,85,NA,770,830,4223,4519,6005
2014,"University of Nebraska"," NE","CO11D1418",1,76,88.011,80,NA,807,830,4781,5272,5481
2014,"University of Nebraska"," NE","CO11D1431",1,76,97.9932,80,NA,786,786,4479,5104,4627
2014,"University of Nebraska"," NE","CO11D1539",1,90,86.0044,88,NA,779,812,4385,4855,6194
2014,"University of Nebraska"," NE","CO11D1542",1,88,80.01,87,NA,753,792,4607,4257,5777
2014,"University of Nebraska"," NE","CO11D1543",1,92,86.0044,96,NA,783,812,3638,4586,5501
2014,"University of Nebraska"," NE","CO11D1545",1,86,88.011,90,NA,792,824,4365,4755,6167
2014,"University of Nebraska"," NE","CO11D1555W",1,76,91.9988,84,NA,818,846,3672,4748,5299
2014,"University of Nebraska"," NE","CO11D1559",1,74,88.011,86,NA,810,831,3248,4519,4876
2014,"University of Nebraska"," NE","CO11D1584",1,82,99.9998,92,NA,822,811,2858,4163,4600
