YR,PROGRAM,STUDY,DESCRIPTION,DESIGN,LOC,ID,TYPE,REP,BLOCK,PLOT,ROW,COL,YLD,HT,NOTES
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",11_26,plot,1,10,2097,10,40,3773,84,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",11_73,plot,1,10,2098,10,41,3679,84,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",13_13,plot,1,20,2191,20,34,3295,74,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",13_59,plot,1,20,2192,20,35,3423,78,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_10,plot,1,4,2035,4,38,4654,82,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_2,plot,1,4,2032,4,35,4459,82,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_22,plot,1,4,2039,4,42,4277,82,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_23,plot,1,4,2038,4,41,4096,80,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_31,plot,1,4,2037,4,40,5071,82,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_65,plot,1,4,2033,4,36,4708,92,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_66,plot,1,4,2031,4,34,3887,80,
2014,University of Nebraska,YldQtl-Val_2014_ClayCenter,"Yield QTL Validation, Yield QTL Validation,",CRD,"Clay Center, NE",14_71,plot,1,4,2036,4,39,5165,80,
