YR,PROGRAM,STUDY,DESCRIPTION,DESIGN,LOC,ID,TYPE,REP,BLOCK,PLOT,ROW,COL,TW,YLD,HT,NOTES
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",11_26,plot,1,17,2170,17,10,39,11903,80,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",11_73,plot,1,17,2169,17,9,26,12038,82,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",13_59,plot,1,19,2182,19,2,51,12105,80,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_10,plot,1,8,2078,8,8,51,12307,90,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_2,plot,1,8,2073,8,3,39,11971,85,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_23,plot,1,8,2074,8,4,39,12307,83,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_31,plot,1,8,2076,8,6,39,12172,89,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_65,plot,1,8,2080,8,10,64,11836,84,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_66,plot,1,8,2075,8,5,39,12240,84,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_71,plot,1,8,2072,8,2,51,12307,83,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_83,plot,1,8,2079,8,9,51,12307,90,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",14_88,plot,1,8,2077,8,7,39,12038,89,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",15_18,plot,1,1,2003,1,3,64,12038,85,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",15_44,plot,1,1,2004,1,4,77,11971,85,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",4_12,plot,1,17,2165,17,5,26,12307,78,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",4_19,plot,1,17,2166,17,6,39,11903,74,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_101,plot,1,5,2049,5,9,39,12105,88,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_11,plot,1,5,2046,5,6,64,12105,82,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_140,plot,1,5,2047,5,7,26,12307,96,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_29,plot,1,5,2048,5,8,26,12307,90,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_45,plot,1,5,2050,5,10,39,11971,84,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_55,plot,1,5,2045,5,5,77,12240,92,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_61,plot,1,5,2043,5,3,51,11971,88,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_86,plot,1,5,2044,5,4,64,12374,90,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",7_9,plot,1,5,2042,5,2,77,11971,85,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1111,plot,1,3,2023,3,3,77,11971,84,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1119,plot,1,3,2024,3,4,77,12307,84,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1127,plot,1,3,2022,3,2,77,11971,85,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1140,plot,1,19,2190,19,10,64,12240,76,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1156,plot,1,19,2187,19,7,26,12374,77,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1159,plot,1,19,2189,19,9,26,12105,75,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1174,plot,1,7,2062,7,2,90,12038,85,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1186,plot,1,7,2063,7,3,64,12038,84,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1190,plot,1,7,2064,7,4,77,12038,90,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1213,plot,1,9,2085,9,5,77,12240,80,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1219,plot,1,9,2086,9,6,64,12240,92,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1221,plot,1,9,2087,9,7,64,12240,86,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1231,plot,1,9,2088,9,8,103,12038,89,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1236,plot,1,16,2155,16,5,51,12038,82,
2014,University of Nebraska,YldQtl-Val_2014_Mead,"Yield QTL Validation, Yield QTL Validation, Planting error in 1st pass resulted in uncertainty of plot assignments.  Data discarded.",CRD,"Ithaca, NE",CO11D1240,plot,1,16,2158,16,8,77,12038,62,
