TRAIT,LOC,ID,BLUEs
Yield,Across Locations,11_26,60.279905674713156
Yield,Across Locations,11_73,62.054362409988244
Yield,Across Locations,13_13,56.25071683459276
Yield,Across Locations,13_59,60.73064972425605
Yield,Across Locations,14_10,65.40684553805622
Yield,Across Locations,14_2,67.603626772032
Yield,Across Locations,14_22,61.38804370000566
Yield,Across Locations,14_23,64.51405604255609
Yield,Across Locations,14_31,65.60116740409815
Yield,Across Locations,14_65,68.79987585612724
Yield,Across Locations,14_66,57.370781816896795
Yield,Across Locations,14_71,69.15856649554438
Yield,Across Locations,14_83,70.15987043390824
Yield,Across Locations,14_88,65.77889444888154
Yield,Across Locations,15_18,60.021334836962815
Yield,Across Locations,15_44,62.86912435043258
Yield,Across Locations,4_12,58.88121664900264
Yield,Across Locations,4_19,59.14870483723261
Yield,Across Locations,7_101,68.94989939137258
Yield,Across Locations,7_105,61.08388330691565
Yield,Across Locations,7_11,68.60534811504104
Yield,Across Locations,7_140,66.70812524348776
Yield,Across Locations,7_29,65.35407573940965
Yield,Across Locations,7_45,65.9106839308087
Yield,Across Locations,7_55,62.36373625342205
Yield,Across Locations,7_61,64.1088943587327
Yield,Across Locations,7_86,57.37794177005763
Yield,Across Locations,7_9,55.43183104189559
Yield,Across Locations,CO11D1111,58.80060642300537
Yield,Across Locations,CO11D1119,57.235916855785256
Yield,Across Locations,CO11D1125,67.13844677289364
Yield,Across Locations,CO11D1127,58.11150022861454
Yield,Across Locations,CO11D1140,61.798794682642665
Yield,Across Locations,CO11D1156,67.53123414068223
Yield,Across Locations,CO11D1159,65.46907291258867
Yield,Across Locations,CO11D1174,56.709963857164716
Yield,Across Locations,CO11D1182,65.34118303164608
Yield,Across Locations,CO11D1186,58.727534214043104
Yield,Across Locations,CO11D1190,69.31842253507337
Yield,Across Locations,CO11D1213,65.77341292759762
Yield,Across Locations,CO11D1219,56.48648664956505
Yield,Across Locations,CO11D1221,63.81723686116407
Yield,Across Locations,CO11D1231,62.90507278250652
Yield,Across Locations,CO11D1236,73.6842410273224
Yield,Across Locations,CO11D1240,55.08074745045296
Yield,Across Locations,CO11D1248,69.82832979140619
Yield,Across Locations,CO11D1268,70.67592826339565
Yield,Across Locations,CO11D1287,59.39652525390156
Yield,Across Locations,CO11D1298,61.97947565351062
Yield,Across Locations,CO11D1302W,62.76331128896071
Yield,Across Locations,CO11D1312,68.34952361451379
Yield,Across Locations,CO11D1315W,58.996184835479475
Yield,Across Locations,CO11D1316W,60.884364983982294
Yield,Across Locations,CO11D1322,56.543376111570524
Yield,Across Locations,CO11D1341,69.82145656217087
Yield,Across Locations,CO11D1353,70.0742483995422
Yield,Across Locations,CO11D1371,65.81092583498015
Yield,Across Locations,CO11D1380,63.057327785270274
Yield,Across Locations,CO11D1397,63.82346036702237
Yield,Across Locations,CO11D1409,66.754854432221
Yield,Across Locations,CO11D1414,64.42981382542517
Yield,Across Locations,CO11D1418,68.67772093790451
Yield,Across Locations,CO11D1431,65.63693870386864
Yield,Across Locations,CO11D1539,72.23243690539562
Yield,Across Locations,CO11D1542,68.51722628737429
Yield,Across Locations,CO11D1543,63.845854935126795
Yield,Across Locations,CO11D1545,71.59557858947804
Yield,Across Locations,CO11D1555W,67.1426326512555
Yield,Across Locations,CO11D1559,61.717724115604575
Yield,Across Locations,CO11D1584,56.459425045135795
Yield,Across Locations,CO11D1600W,67.61529079302021
Yield,Across Locations,CO11D1615,58.6375167115579
Yield,Across Locations,CO11D1620,61.59938967971653
Yield,Across Locations,CO11D1631,59.45299415543087
Yield,Across Locations,CO11D1633,55.830787171420944
Yield,Across Locations,CO11D1642,57.15363428553242
Yield,Across Locations,CO11D1644,53.755902192099484
Yield,Across Locations,CO11D1645,54.74852400289679
Yield,Across Locations,CO11D1647,69.07770792162775
Yield,Across Locations,CO11D1654,63.61759271586871
Yield,Across Locations,CO11D1656,47.32484066263906
Yield,Across Locations,CO11D1657,59.66476234865209
Yield,Across Locations,CO11D1665,54.49712023156513
Yield,Across Locations,CO11D1686,62.83620619403701
Yield,Across Locations,CO11D1715,64.28719733886773
Yield,Across Locations,CO11D1731,48.87851407689043
Yield,Across Locations,CO11D1746,58.57054852209388
Yield,Across Locations,CO11D1758W,54.01532677077465
Yield,Across Locations,CO11D1767,67.6088093678697
Yield,Across Locations,CO11D1789,57.70676213705986
Yield,Across Locations,CO11D1799,62.89259641079938
Yield,Across Locations,CT103,50.8646486805636
Yield,Across Locations,CT110,39.09488805344021
Yield,Across Locations,CT111,50.259173574763864
Yield,Across Locations,CT112,35.459395277484845
Yield,Across Locations,CT115,45.68323694049736
Yield,Across Locations,CT125,42.475734186245916
Yield,Across Locations,CT135,44.951619143075376
Yield,Across Locations,CT154,38.45937599273563
Yield,Across Locations,CT163,38.85130266019057
Yield,Across Locations,CT185,54.619129576087786
Yield,Across Locations,CT194,58.890374744136864
Yield,Across Locations,CT199,51.73320970346263
Yield,Across Locations,CT213,57.8990876082844
Yield,Across Locations,CT224,37.94578897232319
Yield,Across Locations,CT237,48.9963175034195
Yield,Across Locations,CT30,34.162741227120925
Yield,Across Locations,CT38,49.38877943779272
Yield,Across Locations,CT64,46.606605734465994
Yield,Across Locations,CT69,53.614608479674914
Yield,Across Locations,CT95,56.58892827408012
Yield,Across Locations,GOODSYN12,52.39406074478601
Yield,Across Locations,GOODSYN17,52.378098030932996
Yield,Across Locations,GOODSYN23,60.355504931820114
Yield,Across Locations,GOODSYN28,59.142910011495275
Yield,Across Locations,GOODSYN35,59.95753742796572
Yield,Across Locations,GOODSYN37,44.14644236095822
Yield,Across Locations,GOODSYN43,53.16722943274018
